Full Length,Shoulder,Bust,Waist,Half Length,Bust Length,Hip Length 1,Hip Length 2,Hip,Knee Length,Round Knee,Crotch Line,Crotch Extension,Bust Span,Lap,Long Sleeve Length,Long Sleeve Round,Short Sleeve Length,Short Sleeve Round,3/4 Sleeve Length,3/4 Sleeve Round,Cap Sleeve Length,Cap Sleeve Round
56.0,15.0,35.0,26.0,16.0,10.25,24.0,8,37.0,21,7.75,8.25,1.85,3.38,21.5,23.5,5,8,6,17.62,6,3.92,4
56.0,15.0,37.0,28.0,16.0,10.75,24.0,8,37.0,21,7.75,8.25,1.85,3.62,21.5,23.5,5,8,6,17.62,6,4.08,4
57.0,15.5,39.0,30.0,17.0,11.25,25.0,8,42.0,21,9.0,9.5,2.1,3.88,24.0,23.75,5,8,6,17.81,6,4.25,4
56.5,16.0,39.0,34.0,16.5,11.25,24.5,8,43.0,21,9.25,9.75,2.15,3.88,24.5,23.25,6,8,9,17.44,7,4.25,7
56.0,15.0,37.0,30.0,16.0,10.75,24.0,8,39.0,21,8.25,8.75,1.95,3.62,22.5,23.5,5,8,7,17.62,6,4.08,5
57.0,15.0,38.0,34.0,17.0,11.0,25.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,24.0,5,8,9,18.0,7,4.17,7
59.0,16.5,46.0,39.0,18.0,13.0,27.0,9,48.0,22,10.5,11.0,2.4,4.75,27.0,24.25,6,8,12,18.19,10,4.83,10
54.0,13.0,31.0,26.0,14.0,9.25,22.0,8,34.0,21,7.0,7.5,1.7,2.88,20.0,23.5,5,8,6,17.62,6,3.58,4
56.5,15.0,41.0,33.0,16.5,11.75,24.5,8,45.0,21,9.75,10.25,2.25,4.12,25.5,23.75,5,8,8,17.81,8,4.42,6
59.0,16.0,48.0,43.0,18.0,13.5,27.0,9,53.0,22,11.75,12.25,2.65,5.0,29.5,24.5,7,8,15,18.38,12,5.0,13
60.0,16.5,47.0,43.0,19.0,13.25,28.0,9,54.0,22,12.0,12.5,2.7,4.88,30.0,24.75,8,8,15,18.56,12,4.92,13
56.0,15.5,37.0,30.0,16.0,10.75,24.0,8,39.0,21,8.25,8.75,1.95,3.62,22.5,23.25,5,8,7,17.44,6,4.08,5
57.0,15.0,38.0,30.0,17.0,11.0,25.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,24.0,5,8,6,18.0,5,4.17,4
59.0,17.0,46.0,39.0,18.0,13.0,27.0,9,48.0,22,10.5,11.0,2.4,4.75,27.0,24.0,6,8,13,18.0,9,4.83,11
54.0,13.0,31.0,26.0,14.0,9.25,22.0,8,33.0,21,6.75,7.25,1.65,2.88,19.5,23.5,5,8,7,17.62,6,3.58,5
58.0,16.0,45.0,40.0,17.0,12.75,26.0,9,48.0,22,10.5,11.0,2.4,4.62,27.0,24.0,7,8,15,18.0,10,4.75,13
60.0,17.0,51.0,48.0,19.0,14.25,28.0,9,58.0,22,13.0,13.5,2.9,5.38,32.0,24.5,10,8,19,18.38,13,5.25,17
56.0,15.0,36.0,28.0,16.0,10.5,24.0,8,39.0,21,8.25,8.75,1.95,3.5,22.5,23.5,5,8,7,17.62,6,4.0,5
58.0,16.0,42.0,38.0,17.0,12.0,26.0,9,48.0,22,10.5,11.0,2.4,4.25,27.0,24.0,6,8,12,18.0,10,4.5,10
57.0,16.0,43.0,40.0,17.0,12.25,25.0,8,44.0,21,9.5,10.0,2.2,4.38,25.0,23.5,7,8,14,17.62,12,4.58,12
56.5,16.0,38.0,32.0,16.5,11.0,24.5,8,45.0,21,9.75,10.25,2.25,3.75,25.5,23.25,5,8,9,17.44,8,4.17,7
57.0,16.0,44.0,40.0,17.0,12.5,25.0,8,46.0,21,10.0,10.5,2.3,4.5,26.0,23.5,7,8,15,17.62,11,4.67,13
56.0,14.0,37.0,30.0,16.0,10.75,24.0,8,40.0,21,8.5,9.0,2.0,3.62,23.0,24.0,5,8,6,18.0,5,4.08,4
56.0,16.0,44.0,37.0,16.0,12.5,24.0,8,44.0,21,9.5,10.0,2.2,4.5,25.0,23.0,6,8,12,17.25,9,4.67,10
59.0,17.5,44.0,40.0,18.0,12.5,27.0,9,54.0,22,12.0,12.5,2.7,4.5,30.0,23.75,8,8,14,17.81,12,4.67,12
55.0,16.0,38.0,32.0,15.0,11.0,23.0,8,42.0,21,9.0,9.5,2.1,3.75,24.0,22.5,5,8,8,16.88,8,4.17,6
56.5,16.0,38.0,31.0,16.5,11.0,24.5,8,40.0,21,8.5,9.0,2.0,3.75,23.0,23.25,5,8,6,17.44,5,4.17,4
56.0,15.0,39.0,34.0,16.0,11.25,24.0,8,41.0,21,8.75,9.25,2.05,3.88,23.5,23.5,5,8,8,17.62,7,4.25,6
56.5,16.0,44.0,37.0,16.5,12.5,24.5,8,44.0,21,9.5,10.0,2.2,4.5,25.0,23.25,6,8,12,17.44,9,4.67,10
58.5,16.0,43.0,39.5,17.5,12.25,26.5,9,48.0,22,10.5,11.0,2.4,4.38,27.0,24.25,10,8,16,18.19,14,4.58,14
58.0,16.5,48.0,45.0,17.0,13.5,26.0,9,53.0,22,11.75,12.25,2.65,5.0,29.5,23.75,8,8,15,17.81,12,5.0,13
57.0,16.0,45.0,38.0,17.0,12.75,25.0,8,45.0,21,9.75,10.25,2.25,4.62,25.5,23.5,6,8,13,17.62,9,4.75,11
56.0,15.0,37.0,32.0,16.0,10.75,24.0,8,40.0,21,8.5,9.0,2.0,3.62,23.0,23.5,6,8,8,17.62,8,4.08,6
55.5,15.0,36.0,32.0,15.5,10.5,23.5,8,41.0,21,8.75,9.25,2.05,3.5,23.5,23.25,6,8,8,17.44,7,4.0,6
56.5,16.0,45.0,38.0,16.5,12.75,24.5,8,45.0,21,9.75,10.25,2.25,4.62,25.5,23.25,6,8,13,17.44,10,4.75,11
55.0,15.0,37.0,30.0,15.0,10.75,23.0,8,40.0,21,8.5,9.0,2.0,3.62,23.0,23.0,5,8,6,17.25,6,4.08,4
56.0,16.0,42.0,35.0,16.0,12.0,24.0,8,46.0,21,10.0,10.5,2.3,4.25,26.0,23.0,6,8,9,17.25,7,4.5,7
58.0,16.0,43.0,40.0,18.0,12.25,26.0,8,44.0,21,9.5,10.0,2.2,4.38,25.0,24.0,8,8,13,18.0,12,4.58,11
56.0,16.0,36.0,28.0,16.0,10.5,24.0,8,39.0,21,8.25,8.75,1.95,3.5,22.5,23.0,5,8,6,17.25,6,4.0,4
57.0,15.0,42.0,36.0,17.0,12.0,25.0,8,44.0,21,9.5,10.0,2.2,4.25,25.0,24.0,6,8,13,18.0,10,4.5,11
56.0,16.0,38.0,31.0,16.0,11.0,24.0,8,40.0,21,8.5,9.0,2.0,3.75,23.0,23.0,5,8,6,17.25,6,4.17,4
57.0,16.0,40.0,34.0,17.0,11.5,25.0,8,44.0,21,9.5,10.0,2.2,4.0,25.0,23.5,6,8,8,17.62,7,4.33,6
59.0,17.0,50.0,44.0,18.0,14.0,27.0,9,50.0,22,11.0,11.5,2.5,5.25,28.0,24.0,8,8,15,18.0,10,5.17,13
58.0,15.5,43.0,40.0,17.0,12.25,26.0,9,48.0,22,10.5,11.0,2.4,4.38,27.0,24.25,7,8,13,18.19,10,4.58,11
57.0,15.0,41.0,36.0,17.0,11.75,25.0,8,44.0,21,9.5,10.0,2.2,4.12,25.0,24.0,6,8,12,18.0,9,4.42,10
56.5,16.0,40.0,34.0,16.5,11.5,24.5,8,44.0,21,9.5,10.0,2.2,4.0,25.0,23.25,5,8,9,17.44,8,4.33,7
59.0,17.0,50.0,45.0,18.0,14.0,27.0,9,51.0,22,11.25,11.75,2.55,5.25,28.5,24.0,7,8,15,18.0,10,5.17,13
56.5,16.0,42.0,35.0,16.5,12.0,24.5,8,46.0,21,10.0,10.5,2.3,4.25,26.0,23.25,6,8,9,17.44,7,4.5,7
54.5,15.5,34.0,28.0,14.5,10.0,22.5,8,37.0,21,7.75,8.25,1.85,3.25,21.5,22.5,5,8,6,16.88,5,3.83,4
57.0,16.0,45.0,37.0,17.0,12.75,25.0,8,45.0,21,9.75,10.25,2.25,4.62,25.5,23.5,6,8,12,17.62,10,4.75,10
56.0,15.5,38.0,32.0,16.0,11.0,24.0,8,44.0,21,9.5,10.0,2.2,3.75,25.0,23.25,6,8,9,17.44,7,4.17,7
54.0,14.0,30.0,29.0,14.0,9.0,22.0,8,35.0,21,7.25,7.75,1.75,2.75,20.5,23.0,5,8,7,17.25,6,3.5,5
58.0,16.0,46.0,40.0,17.0,13.0,26.0,9,48.0,22,10.5,11.0,2.4,4.75,27.0,24.0,7,8,15,18.0,10,4.83,13
58.0,16.5,41.0,36.0,18.0,11.75,26.0,8,46.0,21,10.0,10.5,2.3,4.12,26.0,23.75,6,8,13,17.81,10,4.42,11
57.0,16.0,38.0,31.0,17.0,11.0,25.0,8,44.0,21,9.5,10.0,2.2,3.75,25.0,23.5,5,8,7,17.62,5,4.17,5
59.0,16.5,43.0,39.0,18.0,12.25,27.0,9,47.0,22,10.25,10.75,2.35,4.38,26.5,24.25,6,8,12,18.19,10,4.58,10
54.0,15.0,32.0,28.0,14.0,9.5,22.0,8,35.0,21,7.25,7.75,1.75,3.0,20.5,22.5,5,8,7,16.88,6,3.67,5
58.0,16.0,45.0,38.0,17.0,12.75,26.0,9,47.0,22,10.25,10.75,2.35,4.62,26.5,24.0,6,8,12,18.0,9,4.75,10
57.0,15.0,43.0,38.0,17.0,12.25,25.0,8,46.0,21,10.0,10.5,2.3,4.38,26.0,24.0,6,8,13,18.0,10,4.58,11
57.0,16.0,40.0,33.0,17.0,11.5,25.0,8,44.0,21,9.5,10.0,2.2,4.0,25.0,23.5,6,8,9,17.62,7,4.33,7
58.5,16.0,45.0,37.0,17.5,12.75,26.5,9,47.0,22,10.25,10.75,2.35,4.62,26.5,24.25,6,8,12,18.19,10,4.75,10
56.0,16.0,40.0,32.0,16.0,11.5,24.0,8,41.0,21,8.75,9.25,2.05,4.0,23.5,23.0,6,8,8,17.25,8,4.33,6
56.0,15.5,41.0,33.0,16.0,11.75,24.0,8,42.0,21,9.0,9.5,2.1,4.12,24.0,23.25,5,8,9,17.44,8,4.42,7
