Full Length,Shoulder,Bust,Waist,Half Length,Bust Length,Hip Length 1,Hip Length 2,Hip,Knee Length,Round Knee,Crotch Line,Crotch Extension,Bust Span,Lap,Long Sleeve Length,Long Sleeve Round,Short Sleeve Length,Short Sleeve Round,3/4 Sleeve Length,3/4 Sleeve Round,Cap Sleeve Length,Cap Sleeve Round
57.0,16.0,40.5,36.0,16.0,11.62,25.0,9,49.0,22,10.75,11.25,2.45,4.06,27.5,23.5,6,8,12,17.62,9,4.38,10
58.0,15.0,42.0,35.0,18.0,12.0,26.0,8,43.0,21,9.25,9.75,2.15,4.25,24.5,24.5,6,8,9,18.38,7,4.5,7
58.5,15.5,42.0,35.0,18.5,12.0,26.5,8,45.0,21,9.75,10.25,2.25,4.25,25.5,24.5,5,8,8,18.38,7,4.5,6
56.0,17.0,37.0,36.0,16.0,10.75,24.0,8,43.0,21,9.25,9.75,2.15,3.62,24.5,22.5,6,8,12,16.88,10,4.08,10
56.0,16.0,41.0,39.0,15.0,11.75,24.0,9,48.0,22,10.5,11.0,2.4,4.12,27.0,23.0,6,8,12,17.25,10,4.42,10
55.5,15.0,35.0,29.0,15.5,10.25,23.5,8,36.0,21,7.5,8.0,1.8,3.38,21.0,23.25,5,8,7,17.44,6,3.92,5
56.0,16.0,38.0,34.0,16.0,11.0,24.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,23.0,5,8,8,17.25,8,4.17,6
56.0,15.5,40.0,37.0,16.0,11.5,24.0,8,43.0,21,9.25,9.75,2.15,4.0,24.5,23.25,6,8,13,17.44,10,4.33,11
54.5,16.0,43.0,42.0,14.5,12.25,22.5,8,46.0,21,10.0,10.5,2.3,4.38,26.0,22.25,7,8,15,16.69,10,4.58,13
55.0,13.5,32.0,29.0,15.0,9.5,23.0,8,36.0,21,7.5,8.0,1.8,3.0,21.0,23.75,5,8,6,17.81,6,3.67,4
59.0,15.0,41.0,35.0,18.0,11.75,27.0,9,50.0,22,11.0,11.5,2.5,4.12,28.0,25.0,5,8,9,18.75,8,4.42,7
57.0,17.0,41.0,38.0,17.0,11.75,25.0,8,42.0,21,9.0,9.5,2.1,4.12,24.0,23.0,6,8,12,17.25,9,4.42,10
57.0,16.0,40.0,37.0,16.0,11.5,25.0,9,47.0,22,10.25,10.75,2.35,4.0,26.5,23.5,6,8,13,17.62,9,4.33,11
56.0,15.0,33.0,29.0,16.0,9.75,24.0,8,37.0,21,7.75,8.25,1.85,3.12,21.5,23.5,5,8,6,17.62,6,3.75,4
56.0,15.0,35.0,32.0,16.0,10.25,24.0,8,40.0,21,8.5,9.0,2.0,3.38,23.0,23.5,6,8,9,17.62,7,3.92,7
56.0,15.0,35.0,33.0,16.0,10.25,24.0,8,42.0,21,9.0,9.5,2.1,3.38,24.0,23.5,6,8,9,17.62,7,3.92,7
56.0,15.0,31.0,27.0,16.0,9.25,24.0,8,36.0,21,7.5,8.0,1.8,2.88,21.0,23.5,5,8,7,17.62,6,3.58,5
57.5,16.0,41.0,38.0,16.5,11.75,25.5,9,48.0,22,10.5,11.0,2.4,4.12,27.0,23.75,6,8,13,17.81,9,4.42,11
56.0,13.5,32.0,28.0,16.0,9.5,24.0,8,38.0,21,8.0,8.5,1.9,3.0,22.0,24.25,5,8,6,18.19,5,3.67,4
56.0,16.0,32.0,28.0,16.0,9.5,24.0,8,38.0,21,8.0,8.5,1.9,3.0,22.0,23.0,5,8,7,17.25,6,3.67,5
55.0,14.0,33.0,27.0,15.0,9.75,23.0,8,37.0,21,7.75,8.25,1.85,3.12,21.5,23.5,5,8,7,17.62,6,3.75,5
56.0,15.0,37.0,31.0,16.0,10.75,24.0,8,42.0,21,9.0,9.5,2.1,3.62,24.0,23.5,5,8,6,17.62,6,4.08,4
56.0,15.0,36.0,28.0,16.0,10.5,24.0,8,40.0,21,8.5,9.0,2.0,3.5,23.0,23.5,5,8,7,17.62,6,4.0,5
56.0,15.0,38.0,37.0,16.0,11.0,24.0,8,41.0,21,8.75,9.25,2.05,3.75,23.5,23.5,6,8,12,17.62,9,4.17,10
56.5,16.0,33.0,32.0,16.5,9.75,24.5,8,46.0,21,10.0,10.5,2.3,3.12,26.0,23.25,6,8,8,17.44,7,3.75,6
56.0,16.0,38.0,32.0,16.0,11.0,24.0,8,42.0,21,9.0,9.5,2.1,3.75,24.0,23.0,5,8,9,17.25,8,4.17,7
58.0,16.0,40.5,34.0,17.0,11.62,26.0,9,47.0,22,10.25,10.75,2.35,4.06,26.5,24.0,5,8,8,18.0,8,4.38,6
59.0,16.0,42.5,34.0,18.0,12.12,27.0,9,50.5,22,11.125,11.625,2.525,4.31,28.25,24.5,5,8,9,18.38,8,4.54,7
57.0,16.0,40.5,35.0,17.0,11.62,25.0,8,43.0,21,9.25,9.75,2.15,4.06,24.5,23.5,5,8,9,17.62,7,4.38,7
57.0,17.0,41.0,34.0,17.0,11.75,25.0,8,45.0,21,9.75,10.25,2.25,4.12,25.5,23.0,5,8,8,17.25,8,4.42,6
57.5,16.0,41.0,37.5,17.5,11.75,25.5,8,46.0,21,10.0,10.5,2.3,4.12,26.0,23.75,6,8,12,17.81,10,4.42,10
